season,match_date,home_team,away_team,home_goals,away_goals,result,home_elo,away_elo,home_xg_form5,away_xg_form5,home_xg,away_xg
2018/19,2018-10-28,Burnley,Chelsea,0,4,A,1375.173,1449.847,0.668,2.418,0.27,3.016
2018/19,2018-10-28,Man United,Everton,2,1,H,1411.589,1415.647,1.332,1.545,2.514,1.673
2018/19,2018-10-29,Tottenham,Man City,0,1,A,1448.971,1459.35,1.802,3.294,0.442,1.936
2018/19,2018-11-03,Newcastle,Watford,1,0,H,1337.983,1422.094,0.839,1.762,0.692,2.545
2018/19,2018-11-03,Everton,Brighton,3,1,H,1407.522,1402.816,1.626,0.752,2.593,0.676
2018/19,2018-11-03,Cardiff,Leicester,0,1,A,1348.591,1388.877,1.04,1.427,0.922,2.183
2018/19,2018-11-03,Bournemouth,Man United,1,2,A,1433.777,1419.713,1.836,1.505,1.928,3.292
2018/19,2018-11-03,Arsenal,Liverpool,1,1,D,1444.736,1470.777,1.48,1.384,1.623,1.196
2018/19,2018-11-03,West Ham,Burnley,4,2,H,1367.535,1365.307,1.172,0.68,2.557,0.883
2018/19,2018-11-03,Wolves,Tottenham,2,3,A,1406.566,1437.272,1.031,1.733,2.406,1.631
2018/19,2018-11-04,Man City,Southampton,6,1,H,1471.049,1365.81,2.698,0.852,2.763,1.815
2018/19,2018-11-04,Chelsea,Crystal Palace,3,1,H,1459.712,1364.082,2.487,1.247,1.887,0.455
2018/19,2018-11-05,Huddersfield,Fulham,1,0,H,1339.687,1346.094,0.634,0.991,0.514,0.354
2018/19,2018-11-10,Southampton,Watford,1,1,D,1360.466,1411.688,1.153,1.919,1.202,1.076
2018/19,2018-11-10,Leicester,Burnley,0,0,D,1399.73,1357.357,1.503,0.398,1.509,0.368
2018/19,2018-11-10,Huddersfield,West Ham,1,1,D,1347.877,1375.486,0.599,1.48,1.175,1.441
2018/19,2018-11-10,Crystal Palace,Tottenham,0,1,A,1358.518,1448.398,1.152,1.636,0.688,1.554
2018/19,2018-11-10,Cardiff,Brighton,2,1,H,1337.738,1394.933,1.205,0.724,1.943,0.767
2018/19,2018-11-10,Newcastle,Bournemouth,2,1,H,1348.389,1421.404,0.932,2.026,2.575,1.917
2018/19,2018-11-11,Arsenal,Wolves,1,1,D,1443.478,1395.439,1.618,1.288,0.966,1.865
2018/19,2018-11-11,Chelsea,Everton,0,0,D,1465.276,1415.405,2.488,1.932,1.163,0.198
2018/19,2018-11-11,Liverpool,Fulham,2,0,H,1472.035,1337.904,1.267,0.708,2.224,0.571
2018/19,2018-11-11,Man City,Man United,3,1,H,1476.394,1432.086,2.633,2.039,2.028,0.971
2018/19,2018-11-24,Watford,Liverpool,0,3,A,1412.228,1476.754,1.61,1.364,0.673,1.453
2018/19,2018-11-24,Everton,Cardiff,1,0,H,1418.724,1347.37,1.508,1.28,2.481,0.879
2018/19,2018-11-24,Brighton,Leicester,1,1,D,1385.302,1396.604,0.832,1.536,0.862,1.125
2018/19,2018-11-24,Tottenham,Chelsea,3,1,H,1457.827,1461.956,1.479,2.365,3.346,0.963
2018/19,2018-11-24,West Ham,Man City,0,4,A,1376.7,1483.217,1.508,2.458,0.83,2.959
2018/19,2018-11-24,Man United,Crystal Palace,0,0,D,1425.263,1349.09,2.06,1.213,1.342,1.053
